taxonId,taxon
adonis_annua,Adonis annua
agrostemma_githago,Agrostemma githago
agrostis_curtisii,Agrostis curtisii
agrostis_vinealis,Agrostis vinealis
aira_caryophyllea,Aira caryophyllea
aira_praecox,Aira praecox
alchemilla_filicaulis_subsp__vestita,Alchemilla filicaulis subsp. vestita
alisma_lanceolatum,Alisma lanceolatum
alopecurus_aequalis,Alopecurus aequalis
anacamptis_morio,Anacamptis morio
anthemis_arvensis,Anthemis arvensis
anthemis_cotula,Anthemis cotula
apera_spica_venti,Apera spica-venti
apium_graveolens,Apium graveolens
arabis_hirsuta,Arabis hirsuta
artemisia_absinthium,Artemisia absinthium
astragalus_danicus,Astragalus danicus
baldellia_ranunculoides,Baldellia ranunculoides
bidens_cernua,Bidens cernua
bistorta_officinalis,Bistorta officinalis
blechnum_spicant,Blechnum spicant
blitum_bonus_henricus,Blitum bonus-henricus
blysmus_compressus,Blysmus compressus
bolboschoenus_laticarpus,Bolboschoenus laticarpus
bolboschoenus_maritimus,Bolboschoenus maritimus
briza_media,Briza media
bromopsis_benekenii,Bromopsis benekenii
bromus_interruptus,Bromus interruptus
buglossoides_arvensis,Buglossoides arvensis
bupleurum_rotundifolium,Bupleurum rotundifolium
callitriche_brutia_subsp__hamulata,Callitriche brutia subsp. hamulata
callitriche_obtusangula,Callitriche obtusangula
calluna_vulgaris,Calluna vulgaris
campanula_latifolia,Campanula latifolia
campanula_rapunculus,Campanula rapunculus
campanula_rotundifolia,Campanula rotundifolia
carduus_tenuiflorus,Carduus tenuiflorus
carex_binervis,Carex binervis
carex_demissa,Carex demissa
carex_dioica,Carex dioica
carex_distans,Carex distans
carex_echinata,Carex echinata
carex_elata,Carex elata
carex_filiformis,Carex filiformis
carex_hostiana,Carex hostiana
carex_lepidocarpa,Carex lepidocarpa
carex_muricata_subsp__muricata,Carex muricata subsp. muricata
carex_pallescens,Carex pallescens
carex_pulicaris,Carex pulicaris
carex_rostrata,Carex rostrata
carex_vesicaria,Carex vesicaria
carex_viridula_subsp__viridula,Carex viridula subsp. viridula
carex_vulpina,Carex vulpina
carum_carvi,Carum carvi
catabrosa_aquatica,Catabrosa aquatica
cephalanthera_damasonium,Cephalanthera damasonium
cephalanthera_longifolia,Cephalanthera longifolia
cerastium_arvense,Cerastium arvense
cerastium_diffusum,Cerastium diffusum
cerastium_pumilum,Cerastium pumilum
ceratocapnos_claviculata,Ceratocapnos claviculata
chamaemelum_nobile,Chamaemelum nobile
chenopodiastrum_hybridum,Chenopodiastrum hybridum
chenopodiastrum_murale,Chenopodiastrum murale
chenopodium_vulvaria,Chenopodium vulvaria
chrysosplenium_alternifolium,Chrysosplenium alternifolium
cladium_mariscus,Cladium mariscus
clinopodium_acinos,Clinopodium acinos
clinopodium_nepeta,Clinopodium nepeta
colchicum_autumnale,Colchicum autumnale
comarum_palustre,Comarum palustre
convallaria_majalis,Convallaria majalis
cuscuta_epithymum,Cuscuta epithymum
cuscuta_europaea,Cuscuta europaea
cynoglossum_germanicum,Cynoglossum germanicum
cynoglossum_officinale,Cynoglossum officinale
cystopteris_fragilis,Cystopteris fragilis
dactylorhiza_praetermissa_subsp__schoenophila,Dactylorhiza praetermissa subsp. schoenophila
dactylorhiza_viridis,Dactylorhiza viridis
daphne_mezereum,Daphne mezereum
descurainia_sophia,Descurainia sophia
dianthus_armeria,Dianthus armeria
dianthus_deltoides,Dianthus deltoides
diplotaxis_tenuifolia,Diplotaxis tenuifolia
dipsacus_pilosus,Dipsacus pilosus
drabella_muralis,Drabella muralis
drosera_rotundifolia,Drosera rotundifolia
eleocharis_acicularis,Eleocharis acicularis
eleocharis_quinqueflora,Eleocharis quinqueflora
epilobium_lanceolatum,Epilobium lanceolatum
epilobium_palustre,Epilobium palustre
epilobium_roseum,Epilobium roseum
epipactis_palustris,Epipactis palustris
epipactis_phyllanthes,Epipactis phyllanthes
epipogium_aphyllum,Epipogium aphyllum
equisetum_sylvaticum,Equisetum sylvaticum
equisetum_variegatum,Equisetum variegatum
erica_cinerea,Erica cinerea
erica_tetralix,Erica tetralix
eriophorum_angustifolium,Eriophorum angustifolium
eriophorum_latifolium,Eriophorum latifolium
ervilia_sylvatica,Ervilia sylvatica
ervum_gracile,Ervum gracile
erysimum_cheiranthoides,Erysimum cheiranthoides
euphorbia_exigua,Euphorbia exigua
euphorbia_platyphyllos,Euphorbia platyphyllos
euphrasia_arctica,Euphrasia arctica
euphrasia_nemorosa,Euphrasia nemorosa
euphrasia_officinalis_subsp__anglica,Euphrasia officinalis subsp. anglica
euphrasia_pseudokerneri,Euphrasia pseudokerneri
fallopia_dumetorum,Fallopia dumetorum
festuca_filiformis,Festuca filiformis
filago_germanica,Filago germanica
filago_lutescens,Filago lutescens
filago_pyramidata,Filago pyramidata
fragaria_vesca,Fragaria vesca
frangula_alnus,Frangula alnus
fritillaria_meleagris,Fritillaria meleagris
fumaria_capreolata,Fumaria capreolata
fumaria_parviflora,Fumaria parviflora
fumaria_purpurea,Fumaria purpurea
fumaria_vaillantii,Fumaria vaillantii
gagea_lutea,Gagea lutea
galeopsis_angustifolia,Galeopsis angustifolia
galeopsis_speciosa,Galeopsis speciosa
galium_pumilum,Galium pumilum
galium_tricornutum,Galium tricornutum
genista_tinctoria,Genista tinctoria
gentianella_amarella,Gentianella amarella
gentianella_amarella_subsp__anglica,Gentianella amarella subsp. anglica
gentianella_campestris,Gentianella campestris
gentianella_germanica,Gentianella germanica
geum_rivale,Geum rivale
glebionis_segetum,Glebionis segetum
glyceria_declinata,Glyceria declinata
groenlandia_densa,Groenlandia densa
gymnadenia_densiflora,Gymnadenia densiflora
gymnocarpium_dryopteris,Gymnocarpium dryopteris
